objectid,classification,endyear,medium,title,uuid,iiifurl,iiifthumburl,width,height,maxpixels,created
204631,Photograph,1900-1920,photogravure,"A Snapshot, Paris [horse]",82232602-9be3-4bdb-9f4e-d45030c8b851,https://api.nga.gov/iiif/82232602-9be3-4bdb-9f4e-d45030c8b851,"https://api.nga.gov/iiif/82232602-9be3-4bdb-9f4e-d45030c8b851/full/!200,200/0/default.jpg",1536,1228,,2014-11-06 12:31:22-05
35399,Photograph,1900-1920,gelatin silver print mounted on paperboard,"At City Hall, New York",f60d7d13-2a65-4395-9ad0-8d3b7e7b38e6,https://api.nga.gov/iiif/f60d7d13-2a65-4395-9ad0-8d3b7e7b38e6,"https://api.nga.gov/iiif/f60d7d13-2a65-4395-9ad0-8d3b7e7b38e6/full/!200,200/0/default.jpg",4305,5636,,2014-02-06 18:24:17-05
35454,Photograph,1900-1920,platinum print,Self-Portrait,6ef86eab-8f71-44ca-8b1e-c1698d67c6d2,https://api.nga.gov/iiif/6ef86eab-8f71-44ca-8b1e-c1698d67c6d2,"https://api.nga.gov/iiif/6ef86eab-8f71-44ca-8b1e-c1698d67c6d2/full/!200,200/0/default.jpg",4723,5936,,2014-04-23 12:02:38-04
35470,Photograph,1900-1920,platinum print,Marsden Hartley,05a0899b-30a9-4e5e-ac0f-e29af40b0a96,https://api.nga.gov/iiif/05a0899b-30a9-4e5e-ac0f-e29af40b0a96,"https://api.nga.gov/iiif/05a0899b-30a9-4e5e-ac0f-e29af40b0a96/full/!200,200/0/default.jpg",4550,5821,,2014-04-23 11:10:24-04
35471,Photograph,1900-1920,platinum print,Marsden Hartley,ef1b5dad-8af7-4bb5-9128-654ea6b8c501,https://api.nga.gov/iiif/ef1b5dad-8af7-4bb5-9128-654ea6b8c501,"https://api.nga.gov/iiif/ef1b5dad-8af7-4bb5-9128-654ea6b8c501/full/!200,200/0/default.jpg",4335,5545,,2014-04-23 10:51:00-04
35472,Photograph,1900-1920,platinum print,J. B. Kerfoot,f49fc66a-cb06-4375-ad40-7b3906bf8997,https://api.nga.gov/iiif/f49fc66a-cb06-4375-ad40-7b3906bf8997,"https://api.nga.gov/iiif/f49fc66a-cb06-4375-ad40-7b3906bf8997/full/!200,200/0/default.jpg",4276,5532,,2014-04-23 11:00:16-04
35474,Photograph,1900-1920,platinum print,John Marin,6ffeadd3-0977-4f9e-ba49-e58468f9f1e0,https://api.nga.gov/iiif/6ffeadd3-0977-4f9e-ba49-e58468f9f1e0,"https://api.nga.gov/iiif/6ffeadd3-0977-4f9e-ba49-e58468f9f1e0/full/!200,200/0/default.jpg",4038,5222,,2014-04-23 10:46:09-04
35475,Photograph,1900-1920,gelatin silver print,"Excavating, New York",35b000c2-d5ea-4d0d-9d3a-468e3edc2cc6,https://api.nga.gov/iiif/35b000c2-d5ea-4d0d-9d3a-468e3edc2cc6,"https://api.nga.gov/iiif/35b000c2-d5ea-4d0d-9d3a-468e3edc2cc6/full/!200,200/0/default.jpg",4777,3837,,2014-01-14 13:40:27-05
35476,Photograph,1900-1920,gelatin silver print,"Excavating, New York",55751ced-fa46-4427-bf26-fc83cb9b56c5,https://api.nga.gov/iiif/55751ced-fa46-4427-bf26-fc83cb9b56c5,"https://api.nga.gov/iiif/55751ced-fa46-4427-bf26-fc83cb9b56c5/full/!200,200/0/default.jpg",5416,4044,,2014-01-14 13:05:07-05
35477,Photograph,1900-1920,photogravure on cream moderately thick smooth wove Japanese paper,Two Towers—New York,b1f29605-366a-494f-9f5a-1eaa4d6a7dc1,https://api.nga.gov/iiif/b1f29605-366a-494f-9f5a-1eaa4d6a7dc1,"https://api.nga.gov/iiif/b1f29605-366a-494f-9f5a-1eaa4d6a7dc1/full/!200,200/0/default.jpg",4004,5178,,2014-09-02 13:55:39-04
35478,Photograph,1900-1920,gelatin silver print,"Horses, New York",a03ed3cd-591d-4266-a7d1-1edc6685584e,https://api.nga.gov/iiif/a03ed3cd-591d-4266-a7d1-1edc6685584e,"https://api.nga.gov/iiif/a03ed3cd-591d-4266-a7d1-1edc6685584e/full/!200,200/0/default.jpg",5318,4170,,2014-01-15 10:43:30-05
35479,Photograph,1900-1920,gelatin silver print,"Construction, New York",7534e022-4aef-4516-8677-b8bcb4d89294,https://api.nga.gov/iiif/7534e022-4aef-4516-8677-b8bcb4d89294,"https://api.nga.gov/iiif/7534e022-4aef-4516-8677-b8bcb4d89294/full/!200,200/0/default.jpg",4265,5344,,2014-01-15 10:47:20-05
35480,Photograph,1900-1920,gelatin silver print,"A Snapshot, Paris",ad54960f-3cac-43b0-b27d-e6dd13eb2b82,https://api.nga.gov/iiif/ad54960f-3cac-43b0-b27d-e6dd13eb2b82,"https://api.nga.gov/iiif/ad54960f-3cac-43b0-b27d-e6dd13eb2b82/full/!200,200/0/default.jpg",5297,4197,,2014-02-10 16:03:13-05
35481,Photograph,1900-1920,gelatin silver print,"A Snapshot, Paris",d6adb290-7ed2-4769-b880-d960d814deb8,https://api.nga.gov/iiif/d6adb290-7ed2-4769-b880-d960d814deb8,"https://api.nga.gov/iiif/d6adb290-7ed2-4769-b880-d960d814deb8/full/!200,200/0/default.jpg",5233,4239,,2014-02-10 16:19:54-05
35568,Photograph,1900-1920,platinum print,J. Nilsen Laurvik,34c5bbf2-b2ce-4c06-8b03-1a58b73a1492,https://api.nga.gov/iiif/34c5bbf2-b2ce-4c06-8b03-1a58b73a1492,"https://api.nga.gov/iiif/34c5bbf2-b2ce-4c06-8b03-1a58b73a1492/full/!200,200/0/default.jpg",4471,5892,,2014-04-28 18:25:12-04
35570,Photograph,1900-1920,platinum print,John Marin,3582d09e-5983-4f9c-bc4a-0b3bc564669f,https://api.nga.gov/iiif/3582d09e-5983-4f9c-bc4a-0b3bc564669f,"https://api.nga.gov/iiif/3582d09e-5983-4f9c-bc4a-0b3bc564669f/full/!200,200/0/default.jpg",4328,5691,,2014-04-28 18:53:02-04
71625,Photograph,1900-1920,platinum print,England,7b8e080c-41e9-4a21-a5c6-c0b324dc6b62,https://api.nga.gov/iiif/7b8e080c-41e9-4a21-a5c6-c0b324dc6b62,"https://api.nga.gov/iiif/7b8e080c-41e9-4a21-a5c6-c0b324dc6b62/full/!200,200/0/default.jpg",2742,2451,640.0,2008-12-11 12:15:02-05
110328,Photograph,1900-1920,gum dichromate over platinum print,Walther Kühn,edcc9541-2831-481f-a37f-cdf74a0ce3a3,https://api.nga.gov/iiif/edcc9541-2831-481f-a37f-cdf74a0ce3a3,"https://api.nga.gov/iiif/edcc9541-2831-481f-a37f-cdf74a0ce3a3/full/!200,200/0/default.jpg",3492,4476,640.0,2006-02-10 17:27:51-05
124994,Photograph,1900-1920,albumen print,"A la Grappe d'Or, 4 place d'Aligre",b2a07384-9b6c-4fc6-8af8-289b38882f05,https://api.nga.gov/iiif/b2a07384-9b6c-4fc6-8af8-289b38882f05,"https://api.nga.gov/iiif/b2a07384-9b6c-4fc6-8af8-289b38882f05/full/!200,200/0/default.jpg",3282,4113,,2005-12-07 14:16:41-05
150200,Photograph,1900-1920,photogravure,The Bridge-Sunlight,71418d40-2b6f-4548-aac5-b1b0844432a5,https://api.nga.gov/iiif/71418d40-2b6f-4548-aac5-b1b0844432a5,"https://api.nga.gov/iiif/71418d40-2b6f-4548-aac5-b1b0844432a5/full/!200,200/0/default.jpg",3402,4172,640.0,2010-05-17 10:46:38-04
212255,Photograph,1900-1920,gelatin silver print,"At the Close of the Day, Pennsylvania",132cab1a-6f5d-4929-a212-1bf8f183e9b3,https://api.nga.gov/iiif/132cab1a-6f5d-4929-a212-1bf8f183e9b3,"https://api.nga.gov/iiif/132cab1a-6f5d-4929-a212-1bf8f183e9b3/full/!200,200/0/default.jpg",8221,5633,,2018-10-23 21:20:55-04
221208,Photograph,1900-1920,carbon print,Portrait of Zulu Woman and Child,91bf2be4-7738-48e2-83a9-215abf7da1d6,https://api.nga.gov/iiif/91bf2be4-7738-48e2-83a9-215abf7da1d6,"https://api.nga.gov/iiif/91bf2be4-7738-48e2-83a9-215abf7da1d6/full/!200,200/0/default.jpg",5696,9912,640.0,2020-02-12 14:45:12-05
35469,Photograph,1900-1920,platinum print,Arthur G. Dove,148456b2-f26d-462c-9568-78cb2509991f,https://api.nga.gov/iiif/148456b2-f26d-462c-9568-78cb2509991f,"https://api.nga.gov/iiif/148456b2-f26d-462c-9568-78cb2509991f/full/!200,200/0/default.jpg",4620,5823,,2014-04-23 11:33:16-04
35484,Photograph,1900-1920,platinum print,Arthur B. Carles,00293665-c361-4050-af39-bdcf5b0718df,https://api.nga.gov/iiif/00293665-c361-4050-af39-bdcf5b0718df,"https://api.nga.gov/iiif/00293665-c361-4050-af39-bdcf5b0718df/full/!200,200/0/default.jpg",5733,4627,,2014-04-23 13:20:25-04
35485,Photograph,1900-1920,platinum print,Arthur B. Carles,85940d17-c09c-4d88-a1fb-c341eddebbd8,https://api.nga.gov/iiif/85940d17-c09c-4d88-a1fb-c341eddebbd8,"https://api.nga.gov/iiif/85940d17-c09c-4d88-a1fb-c341eddebbd8/full/!200,200/0/default.jpg",6022,4657,,2014-02-11 13:33:43-05
35488,Photograph,1900-1920,platinum print,Arthur G. Dove,8563071a-056f-46f0-a863-025ea39c470a,https://api.nga.gov/iiif/8563071a-056f-46f0-a863-025ea39c470a,"https://api.nga.gov/iiif/8563071a-056f-46f0-a863-025ea39c470a/full/!200,200/0/default.jpg",4601,6171,,2014-02-11 13:15:40-05
35489,Photograph,1900-1920,platinum print,Joseph T. Keiley,6d3f3bf7-8b39-44c9-bcf1-70400a2977eb,https://api.nga.gov/iiif/6d3f3bf7-8b39-44c9-bcf1-70400a2977eb,"https://api.nga.gov/iiif/6d3f3bf7-8b39-44c9-bcf1-70400a2977eb/full/!200,200/0/default.jpg",4535,5804,,2014-04-28 18:47:19-04
92381,Photograph,1900-1920,gelatin silver print,Storyville Portrait,257295ef-0919-4894-ba7d-4058d78d5ecd,https://api.nga.gov/iiif/257295ef-0919-4894-ba7d-4058d78d5ecd,"https://api.nga.gov/iiif/257295ef-0919-4894-ba7d-4058d78d5ecd/full/!200,200/0/default.jpg",4599,5735,640.0,2012-10-31 10:25:13-04
